Gene1,Gene2,Score
ESRRB,NR5A2,1.0
PAX3,ZNF578,1.0
PAX3,NR1H4,1.0
PAX3,NR1H4,1.0
PAX3,NR1H4,1.0
PAX3,ZNF544,1.0
PAX3,HOXD13,1.0
PAX3,HOXD13,1.0
FOXK1,HOXA13,1.0
NEUROG1,NR1I2,1.0
FOXR2,SNAI3,1.0
SCML4,USF3,1.0
SCML4,ZNF578,1.0
SCML4,ZNF578,1.0
SCML4,NR1H4,1.0
SCML4,NR1H4,1.0
SCML4,NR1H4,1.0
SCML4,FOXR2,1.0
SCML4,NR1I2,1.0
NR5A2,NR1H4,1.0
NEUROG1,ZNF544,1.0
SCML4,SNAI3,1.0
NEUROG1,ESR2,1.0
SCML4,TCF21,1.0
SCML4,TCF21,1.0
SCML4,ESR2,1.0
SCML4,ESR2,1.0
SCML4,USF3,1.0
SCML4,ZNF578,1.0
SCML4,ZNF578,1.0
SCML4,NR1H4,1.0
SCML4,NR1H4,1.0
SCML4,HOXD13,1.0
HNF1A,TCF21,1.0
NEUROG1,SCML4,1.0
SCML4,SCML4,1.0
SCML4,FOXR2,1.0
SCML4,NR1I2,1.0
SCML4,TCF21,1.0
SCML4,TCF21,1.0
SCML4,ESR2,1.0
SCML4,ESR2,1.0
FOXR2,TCF21,1.0
FOXR2,ESR2,1.0
FOXR2,ESR2,1.0
FOXR2,USF3,1.0
FOXR2,ZNF578,1.0
FOXR2,ZNF578,1.0
FOXR2,NR1H4,1.0
FOXR2,NR1H4,1.0
SCML4,ZNF544,1.0
SCML4,HOXD13,1.0
SCML4,HOXD13,1.0
SCML4,FOXR2,1.0
SCML4,NR1I2,1.0
SCML4,TCF21,1.0
SCML4,TCF21,1.0
SCML4,ESR2,1.0
NR1I2,ESR2,1.0
NR1I2,ESR2,1.0
NR1I2,USF3,1.0
NR1I2,ZNF578,1.0
NR1I2,ZNF578,1.0
NR1I2,NR1H4,1.0
NR1I2,NR1H4,1.0
TCF21,ZNF578,1.0
NR1I2,NR1H4,1.0
SCML4,NR1H4,1.0
SCML4,ZNF544,1.0
SCML4,HOXD13,1.0
SCML4,HOXD13,1.0
FOXR2,NR1I2,1.0
FOXR2,TCF21,1.0
TCF21,ESR2,1.0
TCF21,TCF21,1.0
TCF21,ESR2,1.0
TCF21,ESR2,1.0
TCF21,USF3,1.0
TCF21,ZNF578,1.0
TCF21,ZNF578,1.0
TCF21,NR1H4,1.0
TCF21,NR1H4,1.0
TCF21,NR1H4,1.0
FOXR2,NR1H4,1.0
FOXR2,ZNF544,1.0
FOXR2,HOXD13,1.0
FOXR2,HOXD13,1.0
NR1I2,TCF21,1.0
NR1I2,TCF21,1.0
TCF21,ESR2,1.0
TCF21,USF3,1.0
TCF21,ZNF578,1.0
TCF21,ZNF578,1.0
TCF21,NR1H4,1.0
NR5A2,SNAI3,1.0
PAX9,FOXK1,1.0
