From,To
242704_at,ZNF821
210669_at,TFAP2A
226581_at,RBSN
242396_at,NR2F2
1560228_at,SNAI3
240776_at,PGR
207373_at,HOXD10
218959_at,HOXC10
211195_s_at,TP63
211193_at,TP63
1560469_at,NR5A2
1552814_a_at,KLF14
217163_at,ESR1
220714_at,PRDM14
221340_at,CDX4
219363_s_at,MTERF3
208380_at,LBX1
226315_at,ZNF830
210174_at,NR5A2
221990_at,PAX8
217411_s_at,RREB1
222932_at,EHF
211119_at,ESR2
237086_at,FOXA1
212151_at,PBX1
208559_at,PDX1
229834_at,NFIX
240191_at,ZNF543
1570121_at,ZNF365
241112_at,ZNF517
235262_at,ZNF585B
219995_s_at,ZNF750
213665_at,SOX4
216986_s_at,IRF4
206861_s_at,CGGBP1
1565817_at,IKZF1
207376_at,VENTX
224167_at,SPZ1
231488_at,OTP
214639_s_at,HOXA1
217178_at,RARG
244315_at,PLSCR1
208497_x_at,NEUROG1
236932_s_at,GATAD2A
1570337_at,FIGLA
1553883_at,ZNF99
213934_s_at,ZNF23
208388_at,NR2E3
208135_at,HNF1B
211274_at,TBX1
206602_s_at,HOXD3
207683_at,FOXN1
200828_s_at,ZNF207
1552796_a_at,SIM1
216648_s_at,RREB1
215053_at,SRCAP
234810_at,ZFP1
241984_at,FOXN3
209242_at,PEG3
1570276_a_at,GATA4
210171_s_at,CREM
219836_at,ZBED2
242508_at,USF3
213966_at,HMG20B
1570188_at,NR1I3
236811_at,DMRTC2
215532_x_at,ZNF492
1562988_at,ZSCAN30
201510_at,ELF3
1552487_a_at,BNC1
220799_at,GCM2
238571_at,HOXA13
1552498_at,ZSCAN20
214521_at,HES2
231079_at,NANOG
233441_at,ONECUT2
1555647_a_at,FOXP2
231145_at,PAX9
208343_s_at,NR5A2
238364_x_at,GLI4
207679_at,PAX3
228169_s_at,HES6
1556129_at,ZNF778
1554777_at,ZFP42
211118_x_at,ESR2
1556156_at,ESRRB
232707_at,ISX
238197_at,GATA5
228815_s_at,REPIN1
1552337_s_at,HOXD4
212382_at,TCF4
234315_at,BACH1
204132_s_at,FOXO3
236406_at,ZNF324B
201549_x_at,KDM5B
215152_at,MYB
231786_at,HOXA13
237613_at,FOXR1
216649_at,RREB1
226194_at,CHAMP1
207059_at,PAX9
1567853_at,ZNF28
243811_at,HOXB1
216674_at,HES2
1562305_x_at,ZKSCAN3
229667_s_at,HOXB8
232379_at,SKIL
1553157_at,LHX4
217627_at,ZNF573
1556471_at,SCML4
243692_at,GATA4
1555305_at,FOXJ2
207680_x_at,PAX3
1554375_a_at,NR1H4
206202_at,MEOX2
231606_at,CDX2
1565702_at,SMAD4
1555510_at,ZNF215
224225_s_at,ETV7
1553276_at,ZNF560
1562245_a_at,ZNF578
229166_s_at,GATAD2A
1552340_at,SP7
231746_at,MIXL1
207007_at,NR1I3
236014_at,MKX
233930_at,DMRT3
210016_at,MYT1L
1552825_at,ZNF396
1561633_at,HMGA2
231820_x_at,ZNF587
213580_at,CREBZF
221168_at,PRDM13
216653_at,DR1
207397_s_at,HOXD13
1559891_at,HMGA2
204962_s_at,CENPA
1564945_at,TBX20
239703_at,ZNF579
233354_at,ZNF426
215673_at,TEF
235357_at,DPF3
1566109_at,MYNN
208025_s_at,HMGA2
1552478_a_at,IRF6
216324_at,POU6F1
241580_at,ZNF518B
234804_at,PROX2
229529_at,TCF21
211393_at,PATZ1
1553022_at,ZIM3
1563670_at,ZSCAN23
205252_at,ZNF174
221318_at,NEUROD4
231236_at,ZFP57
1555356_a_at,SCML4
213823_at,HOXA11
1564662_at,ZNF852
235090_at,ZNF710
234524_at,PRDM15
1565816_at,IKZF1
1569669_at,FOXR2
208495_at,TLX3
1565588_at,SP140L
208604_s_at,HOXA3
217098_s_at,ZSCAN12
235698_at,ZFP90
220493_at,DMRT1
1558658_at,ZNF391
228361_at,E2F2
244725_at,DMRTA1
208413_at,RARB
243457_s_at,ZNF214
227011_at,ZNF672
204931_at,TCF21
216987_at,IRF4
220709_at,ZNF556
241612_at,FOXD3
207570_at,SHOX
218491_s_at,THYN1
1570038_at,ZNF595
236531_at,ZNF800
216034_at,ZNF280A
211377_x_at,MYCN
215355_at,POU2F3
235270_at,ZNF397
214397_at,MBD2
214901_at,ZNF8
220625_s_at,ELF5
241193_at,ETS2
210219_at,SP100
238847_at,HOXD10
218735_s_at,ZNF544
207009_at,PHOX2B
210259_s_at,DLX4
1553851_at,SPIC
207867_at,PAX4
207179_at,TLX1
1558733_at,ZBTB38
1552769_at,ZNF625
1564022_at,ZNF804B
1560922_s_at,ZNF169
214447_at,ETS1
211524_at,NFKB2
1569638_at,SOX5
1560011_at,JRK
216780_at,ZNF443
204667_at,FOXA1
220792_at,PRDM5
244885_at,EBF2
217075_x_at,KMT2B
203319_s_at,ZNF148
208060_at,PAX7
233708_at,NFATC2
218082_s_at,UBP1
213777_s_at,CREBZF
216930_at,HNF1A
208502_s_at,PITX1
1558683_a_at,HMGA2
1553394_a_at,TFAP2B
206018_at,FOXG1
207607_at,ASCL2
214865_at,DOT1L
1563018_at,TBX5
205497_at,ZNF175
206591_at,RAG1
206572_x_at,ZNF85
1559839_at,TBX18
236011_at,FOXK1
242513_x_at,USF3
1555581_a_at,TP63
1562303_at,ZKSCAN3
1569554_at,ESR2
1552673_at,RFX6
207846_at,POU1F1
209603_at,GATA3
213354_s_at,NR2F6
1569443_s_at,ZNF782
1554036_at,ZBTB24
208500_x_at,FOXD3
225572_at,CREB1
207031_at,NKX3-2
1557965_at,MTERF4
233863_at,CASZ1
1553325_at,POU5F2
220624_s_at,ELF5
207694_at,POU3F4
220392_at,EBF2
219780_at,ZNF771
1563725_at,ZNF583
241609_at,FOXD3
1565537_at,NKX1-1
242522_at,TCF24
229766_at,ZNF445
1553875_s_at,ZSCAN10
230420_at,CASZ1
1561270_at,ZNF429
1558586_at,ZNF33B
208501_at,GFI1B
211024_s_at,NKX2-1
231742_at,CRX
1555676_s_at,GSX1
207921_x_at,PAX8
206847_s_at,HOXA7
206340_at,NR1H4
217076_s_at,HOXD3
243234_at,TBX3
1562439_at,NCOA3
