Source,Target
SCML4,USF3
SCML4,TCF21
SCML4,TBX22
SCML4,ZNF215
SCML4,TBX1
SCML4,ZNF560
SCML4,ZNF750
SCML4,TEF
SCML4,ZNF518B
SCML4,ZBTB10
SCML4,ZNF28
SCML4,SP7
SCML4,VENTX
SCML4,ZNF181
SCML4,ZFP57
SCML4,ZNF800
SCML4,TFAP2A
SCML4,ZIM3
SCML4,ZBED2
SCML4,ZNF625
SCML4,TBX3
SCML4,TP63
SCML4,ZNF280A
SCML4,ZSCAN12
SCML4,ZKSCAN3
SCML4,TBX18
SCML4,ZNF672
SCML4,ZNF492
SCML4,TFAP2A
SCML4,SRCAP
SCML4,TCF21
SCML4,ZNF429
SCML4,ZNF391
SCML4,ZNF316
SCML4,TLX3
SCML4,ZSCAN30
SCML4,ZNF543
SCML4,SNAI3
SCML4,TCF21
SCML4,SHOX
SCML4,USF3
SCML4,ZNF578
SCML4,ZNF777
SCML4,ZNF99
SCML4,TBX5
SCML4,SKIL
SCML4,TBX1
SCML4,SMAD4
SCML4,ZSCAN23
SCML4,ZNF710
SCML4,SIM1
SCML4,SIX1
SCML4,SOX5
SCML4,ZNF443
SCML4,ZNF804B
SCML4,ZFP1
SCML4,ZFP42
SCML4,ZNF583
SCML4,TBX20
SCML4,SHOX2
SCML4,ZBTB24
SCML4,ZNF705G
SCML4,ZNF771
SCML4,ZNF214
SCML4,ZNF92
SCML4,ZSCAN20
SCML4,ZNF324B
SCML4,ZNF572
SCML4,ZNF782
SCML4,ZKSCAN3
SCML4,SP140L
SCML4,SPZ1
SCML4,TBX3
SCML4,ZNF214
SCML4,TFAP2B
SCML4,SRY
SCML4,TLX1
SCML4,WT1
SCML4,SOX4
SCML4,ZNF397
SCML4,TCF24
SCML4,ZNF365
SCML4,ZNF852
SCML4,ZNF578
SCML4,ZNF556
SCML4,TFAP2C
SCML4,ZFP42
SCML4,SP100
SCML4,ZNF595
SCML4,ZNF585B
SCML4,SPIC
SCML4,TP63
SCML4,TP63
SCML4,ZSCAN4
USF3,ZNF215
USF3,ZNF560
USF3,ZNF750
USF3,ZNF518B
USF3,ZBTB10
USF3,ZNF28
USF3,VENTX
USF3,ZNF181
USF3,ZFP57
USF3,ZNF800
USF3,ZIM3
USF3,ZBED2
USF3,ZNF625
USF3,ZNF280A
USF3,ZSCAN12
USF3,ZKSCAN3
USF3,ZNF672
USF3,ZNF492
USF3,ZNF429
USF3,ZNF391
USF3,ZNF316
USF3,ZSCAN30
USF3,ZNF543
USF3,ZNF578
USF3,ZNF777
USF3,ZNF99
USF3,ZSCAN23
USF3,ZNF710
USF3,ZNF443
USF3,ZNF804B
USF3,ZFP1
USF3,ZFP42
USF3,ZNF583
USF3,ZBTB24
USF3,ZNF705G
USF3,ZNF771
USF3,ZNF214
USF3,ZNF92
USF3,ZSCAN20
USF3,ZNF324B
USF3,ZNF572
USF3,ZNF33B
USF3,ZKSCAN3
USF3,ZNF214
USF3,WT1
USF3,ZNF397
USF3,ZNF365
USF3,ZNF852
USF3,ZNF578
USF3,ZNF556
USF3,ZFP42
USF3,ZNF595
USF3,ZNF585B
USF3,ZSCAN4
PGR,SCML4
PGR,USF3
PGR,TCF21
PGR,TBX22
PGR,ZNF215
PGR,TBX1
PGR,PHOX2B
PGR,RARG
PGR,ZNF560
PGR,ZNF750
PGR,TEF
PGR,ZNF518B
PGR,ZBTB10
PGR,ZNF28
PGR,SP7
PGR,VENTX
PGR,ZNF181
PGR,ZNF579
PGR,ZFP57
PGR,POU1F1
PGR,ZNF800
PGR,TFAP2A
PGR,ZIM3
PGR,ZBED2
PGR,RREB1
PGR,ZNF625
PGR,TBX3
PGR,TP63
PGR,RARB
PGR,ZNF280A
PGR,ZSCAN12
PGR,ZKSCAN3
PGR,TBX18
PGR,ZNF672
PGR,ZNF492
PGR,TFAP2A
PGR,SRCAP
PGR,PRDM14
PGR,TCF21
PGR,ZNF429
PGR,ZNF391
PGR,ZNF316
PGR,TLX3
PGR,ZSCAN30
PGR,PRDM13
PGR,ZNF543
PGR,SCML4
PGR,SNAI3
PGR,TCF21
PGR,SHOX
PGR,USF3
PGR,ZNF578
PGR,ZNF777
PGR,ZNF99
PGR,TBX5
PGR,SKIL
PGR,TBX1
PGR,SMAD4
PGR,ZSCAN23
PGR,ZNF710
PGR,RREB1
PGR,PROX2
PGR,SIM1
PGR,SIX1
PGR,SOX5
PGR,ZNF443
PGR,SCML4
PGR,POU3F4
PGR,ZNF804B
PGR,ZFP1
PGR,RREB1
PGR,PITX1
PGR,POU2F3
PGR,ZFP42
PGR,ZNF583
PGR,TBX20
PGR,SHOX2
PGR,REPIN1
PGR,PRDM15
PGR,ZBTB24
PGR,ZNF705G
PGR,ZNF771
PGR,ZNF214
PGR,ZNF92
PGR,ZSCAN20
PGR,ZNF324B
PGR,ZNF572
PGR,ZNF33B
PGR,RAG1
PGR,ZNF782
PGR,ZKSCAN3
PGR,SP140L
PGR,SPZ1
PGR,TBX3
PGR,ZNF214
PGR,TFAP2B
PGR,SRY
PGR,TLX1
PGR,WT1
PGR,POU6F1
PGR,SOX4
PGR,ZNF397
PGR,TCF24
PGR,ZNF365
PGR,PLSCR1
PGR,POU5F2
PGR,ZNF852
PGR,ZNF578
PGR,ZNF556
PGR,RORA
PGR,TFAP2C
PGR,ZFP42
PGR,RARB
PGR,SP100
PGR,ZNF595
PGR,ZNF585B
PGR,SPIC
PGR,TP63
PGR,TP63
PGR,RFX6
PGR,ZSCAN4
NR1H4,SCML4
NR1H4,USF3
NR1H4,PGR
NR1H4,TCF21
NR1H4,TBX22
NR1H4,ZNF215
NR1H4,TBX1
NR1H4,PHOX2B
NR1H4,RARG
NR1H4,ZNF560
NR1H4,OTP
NR1H4,ZNF750
NR1H4,TEF
NR1H4,ZNF518B
NR1H4,ZBTB10
NR1H4,ZNF28
NR1H4,SP7
NR1H4,VENTX
NR1H4,ZNF181
NR1H4,ZFP57
NR1H4,POU1F1
NR1H4,ZNF800
NR1H4,TFAP2A
NR1H4,ZIM3
NR1H4,ZBED2
NR1H4,RREB1
NR1H4,ZNF625
NR1H4,TBX3
NR1H4,TP63
NR1H4,RARB
NR1H4,NR1I3
NR1H4,ZNF280A
NR1H4,ZSCAN12
NR1H4,PAX3
NR1H4,ZKSCAN3
NR1H4,TBX18
NR1H4,ZNF672
NR1H4,ZNF492
NR1H4,TFAP2A
NR1H4,SRCAP
NR1H4,PRDM14
NR1H4,TCF21
NR1H4,ZNF429
NR1H4,ZNF391
NR1H4,ZNF316
NR1H4,TLX3
NR1H4,PAX3
NR1H4,PAX9
NR1H4,ZSCAN30
NR1H4,PRDM13
NR1H4,ZNF543
NR1H4,NR5A2
NR1H4,NR1I2
NR1H4,NR2F2
NR1H4,SNAI3
NR1H4,TCF21
NR1H4,SHOX
NR1H4,USF3
NR1H4,ZNF578
NR1H4,ZNF777
NR1H4,ZNF99
NR1H4,TBX5
NR1H4,SKIL
NR1H4,TBX1
NR1H4,SMAD4
NR1H4,ZSCAN23
NR1H4,ZNF710
NR1H4,RREB1
NR1H4,PROX2
NR1H4,ONECUT1
NR1H4,PAX9
NR1H4,ONECUT2
NR1H4,SIM1
NR1H4,SIX1
NR1H4,SOX5
NR1H4,NR1I3
NR1H4,PAX4
NR1H4,ZNF443
NR1H4,SCML4
NR1H4,NR2E3
NR1H4,POU3F4
NR1H4,ZNF804B
NR1H4,ZFP1
NR1H4,RREB1
NR1H4,PITX1
NR1H4,POU2F3
NR1H4,ZFP42
NR1H4,NR2F6
NR1H4,ZNF583
NR1H4,TBX20
NR1H4,SHOX2
NR1H4,REPIN1
NR1H4,PRDM15
NR1H4,NR5A2
NR1H4,ZBTB24
NR1H4,ZNF705G
NR1H4,ZNF771
NR1H4,ZNF214
NR1H4,PATZ1
NR1H4,ZSCAN20
NR1H4,ZNF572
NR1H4,ZNF33B
NR1H4,RAG1
NR1H4,ZNF782
NR1H4,ZKSCAN3
NR1H4,SP140L
NR1H4,SPZ1
NR1H4,TBX3
NR1H4,ZNF214
NR1H4,TFAP2B
NR1H4,SRY
NR1H4,TLX1
NR1H4,WT1
NR1H4,PAX8
NR1H4,POU6F1
NR1H4,SOX4
NR1H4,ZNF397
NR1H4,TCF24
NR1H4,ZNF365
NR1H4,PLSCR1
NR1H4,POU5F2
NR1H4,ZNF852
NR1H4,ZNF578
NR1H4,PAX8
NR1H4,ZNF556
NR1H4,RORA
NR1H4,NR5A2
NR1H4,TFAP2C
NR1H4,ZFP42
NR1H4,RARB
NR1H4,SP100
NR1H4,ZNF595
NR1H4,ZNF585B
NR1H4,SPIC
NR1H4,TP63
NR1H4,RFX6
NR1H4,ZSCAN4
TCF21,USF3
TCF21,ZNF215
TCF21,ZNF560
TCF21,ZNF750
TCF21,ZNF518B
TCF21,ZBTB10
TCF21,ZNF28
TCF21,VENTX
TCF21,ZNF181
TCF21,ZNF579
TCF21,ZFP57
TCF21,ZNF800
TCF21,TFAP2A
TCF21,ZIM3
TCF21,ZBED2
TCF21,ZNF625
TCF21,TP63
TCF21,ZNF280A
TCF21,ZSCAN12
TCF21,ZKSCAN3
TCF21,ZNF672
TCF21,ZNF492
TCF21,TFAP2A
TCF21,ZNF429
TCF21,ZNF391
TCF21,ZNF316
TCF21,TLX3
TCF21,ZSCAN30
TCF21,ZNF543
TCF21,USF3
TCF21,ZNF578
TCF21,ZNF777
TCF21,ZNF99
TCF21,ZSCAN23
TCF21,ZNF710
TCF21,ZNF443
TCF21,ZNF804B
TCF21,ZFP1
TCF21,ZFP42
TCF21,ZNF583
TCF21,ZBTB24
TCF21,ZNF705G
TCF21,ZNF771
TCF21,ZNF214
TCF21,ZNF92
TCF21,ZSCAN20
TCF21,ZNF324B
TCF21,ZNF572
TCF21,ZNF782
TCF21,ZKSCAN3
TCF21,ZNF214
TCF21,TFAP2B
TCF21,TLX1
TCF21,WT1
TCF21,ZNF397
TCF21,TCF24
TCF21,ZNF365
TCF21,ZNF852
TCF21,ZNF578
TCF21,ZNF556
TCF21,TFAP2C
TCF21,ZFP42
TCF21,ZNF595
TCF21,ZNF585B
TCF21,TP63
TCF21,TP63
TCF21,ZSCAN4
TBX22,USF3
TBX22,TCF21
TBX22,ZNF215
TBX22,ZNF560
TBX22,ZNF750
TBX22,TEF
TBX22,ZNF518B
TBX22,ZNF28
TBX22,ZFP57
TBX22,TFAP2A
TBX22,ZIM3
TBX22,ZBED2
TBX22,ZNF517
TBX22,TP63
